rollno,reg_no,time,date,lab,batch,batch1,term,session,ses_half,Centre,USER,Remarks
2.0,YS-N24/22-2200324/2009,8.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
3.0,YS-N24/22-2200328/2009,8.00,11/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
4.0,YS-N24/22-2200325/2009,8.00,11/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
5.0,YS-N24/22-2200329/2009,8.00,11/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
6.0,YS-N24/22-2200336/2009,8.00,11/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
7.0,YS-N24/22-2200326/2009,8.00,11/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
53.0,YS-N24/22-2200594/2009,8.00,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
54.0,YS-N24/22-2200286/2009,8.00,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
55.0,YS-N24/22-2200287/2009,8.00,11/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
56.0,YS-N24/22-2200295/2009,8.00,11/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
57.0,YS-N24/22-2200297/2009,8.00,11/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
58.0,YS-N24/22-2200303/2009,8.00,11/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
59.0,YS-N24/22-2200688/2009,9.30,11/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
60.0,YS-N24/22-2200580/2009,9.30,11/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
408.0,YS-N24/22-2200533/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
409.0,YS-N24/22-2200491/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
410.0,YS-N24/22-2200463/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
411.0,YS-N24/22-2200494/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
412.0,YS-N24/22-2200377/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
413.0,YS-N24/22-2200577/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
414.0,YS-N24/22-2200517/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
415.0,YS-N24/22-2200446/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
416.0,YS-N24/22-2200343/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
417.0,YS-N24/22-2200461/2009,9.30,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
418.0,YS-N24/22-2200526/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
419.0,YS-N24/22-2200520/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
420.0,YS-N24/22-2200450/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
421.0,YS-N24/22-2200511/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
422.0,YS-N24/22-2200395/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
423.0,YS-N24/22-2200583/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
424.0,YS-N24/22-2200482/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
425.0,YS-N24/22-2200472/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
426.0,YS-N24/22-2200451/2009,11.00,11/01/2010,,25001,CITA,F,22,B,N24,UNKNOWN,
427.0,YS-N24/22-2200426/2009,11.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
428.0,YS-N24/22-2200658/2009,11.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
429.0,YS-N24/22-2200704/2009,11.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
430.0,YS-N24/22-2200404/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
431.0,YS-N24/22-2200419/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
432.0,YS-N24/22-2200471/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
433.0,YS-N24/22-2200553/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
434.0,YS-N24/22-2200505/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
435.0,YS-N24/22-2200439/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
436.0,YS-N24/22-2200659/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
437.0,YS-N24/22-2200653/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
438.0,YS-N24/22-2200654/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
439.0,YS-N24/22-2200501/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
440.0,YS-N24/22-2200406/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
441.0,YS-N24/22-2200436/2009,12.30,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
442.0,YS-N24/22-2200538/2009,14.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
443.0,YS-N24/22-2200540/2009,14.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
444.0,YS-N24/22-2200597/2009,14.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
445.0,YS-N24/22-2200425/2009,14.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
446.0,YS-N24/22-2200499/2009,14.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
447.0,YS-N24/22-2200460/2009,14.00,11/01/2010,,25002,CITA,F,22,B,N24,UNKNOWN,
448.0,YS-N24/22-2200438/2009,14.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
449.0,YS-N24/22-2200334/2009,14.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
450.0,YS-N24/22-2200586/2009,14.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
451.0,YS-N24/22-2200416/2009,14.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
452.0,YS-N24/22-2200356/2009,14.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
453.0,YS-N24/22-2200415/2009,14.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
454.0,YS-N24/22-2200448/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
455.0,YS-N24/22-2200527/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
456.0,YS-N24/22-2200344/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
457.0,YS-N24/22-2200649/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
458.0,YS-N24/22-2200508/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
459.0,YS-N24/22-2200545/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
460.0,YS-N24/22-2200477/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
461.0,YS-N24/22-2200393/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
462.0,YS-N24/22-2200523/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
463.0,YS-N24/22-2200591/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
464.0,YS-N24/22-2200335/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
465.0,YS-N24/22-2200449/2009,15.30,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
466.0,YS-N24/22-2200512/2009,17.00,11/01/2010,,25003,CITA,F,22,B,N24,UNKNOWN,
467.0,YS-N24/22-2200710/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
468.0,YS-N24/22-2200694/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
469.0,YS-N24/22-2200644/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
470.0,YS-N24/22-2200650/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
471.0,YS-N24/22-2200692/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
472.0,YS-N24/22-2200645/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
473.0,YS-N24/22-2200539/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
474.0,YS-N24/22-2200532/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
475.0,YS-N24/22-2200612/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
476.0,YS-N24/22-2200683/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
477.0,YS-N24/22-2200405/2009,17.00,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
478.0,YS-N24/22-2200725/2009,18.30,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
479.0,YS-N24/22-2200714/2009,18.30,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
480.0,YS-N24/22-2200712/2009,18.30,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
481.0,YS-N24/22-2200347/2009,18.30,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
482.0,YS-N24/22-2200656/2009,18.30,11/01/2010,,25005,CITA,F,22,B,N24,UNKNOWN,
483.0,YS-N24/22-2200615/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
484.0,YS-N24/22-2200466/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
485.0,YS-N24/22-2200655/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
486.0,YS-N24/22-2200701/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
487.0,YS-N24/22-2200685/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
488.0,YS-N24/22-2200417/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
489.0,YS-N24/22-2200376/2009,18.30,11/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
490.0,YS-N24/22-2200689/2009,8.00,12/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
491.0,YS-N24/22-2200375/2009,8.00,12/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
492.0,YS-N24/22-2200732/2009,8.00,12/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
493.0,YS-N24/22-2200351/2009,8.00,12/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
494.0,YS-N24/22-2200536/2009,8.00,12/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
495.0,YS-N24/22-2200547/2009,8.00,12/01/2010,,25007,CITA,F,22,B,N24,UNKNOWN,
496.0,YS-N24/22-2200366/2009,8.00,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
497.0,YS-N24/22-2200664/2009,8.00,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
498.0,YS-N24/22-2200566/2009,8.00,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
499.0,YS-N24/22-2200724/2009,8.00,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
500.0,YS-N24/22-2200708/2009,8.00,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
501.0,YS-N24/22-2200711/2009,8.00,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
502.0,YS-N24/22-2200595/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
503.0,YS-N24/22-2200715/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
504.0,YS-N24/22-2200365/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
505.0,YS-N24/22-2200726/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
506.0,YS-N24/22-2200744/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
507.0,YS-N24/22-2200548/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
508.0,YS-N24/22-2200665/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
509.0,YS-N24/22-2200720/2009,9.30,12/01/2010,,25009,CITA,F,22,B,N24,UNKNOWN,
510.0,YS-N24/22-2200509/2009,9.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
511.0,YS-N24/22-2200560/2009,9.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
512.0,YS-N24/22-2200563/2009,9.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
513.0,YS-N24/22-2200458/2009,9.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
514.0,YS-N24/22-2200603/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
515.0,YS-N24/22-2200452/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
516.0,YS-N24/22-2200646/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
517.0,YS-N24/22-2200568/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
518.0,YS-N24/22-2200444/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
519.0,YS-N24/22-2200467/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
520.0,YS-N24/22-2200453/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
521.0,YS-N24/22-2200457/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
522.0,YS-N24/22-2200669/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
523.0,YS-N24/22-2200628/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
524.0,YS-N24/22-2200567/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
525.0,YS-N24/22-2200478/2009,11.00,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
526.0,YS-N24/22-2200507/2009,12.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
527.0,YS-N24/22-2200559/2009,12.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
528.0,YS-N24/22-2200445/2009,12.30,12/01/2010,,25010,CITA,F,22,B,N24,UNKNOWN,
529.0,YS-N24/22-2200613/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
530.0,YS-N24/22-2200608/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
531.0,YS-N24/22-2200537/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
532.0,YS-N24/22-2200427/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
533.0,YS-N24/22-2200697/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
534.0,YS-N24/22-2200437/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
535.0,YS-N24/22-2200636/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
536.0,YS-N24/22-2200671/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
537.0,YS-N24/22-2200296/2009,12.30,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
538.0,YS-N24/22-2200510/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
539.0,YS-N24/22-2200651/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
540.0,YS-N24/22-2200569/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
541.0,YS-N24/22-2200698/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
542.0,YS-N24/22-2200631/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
543.0,YS-N24/22-2200625/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
544.0,YS-N24/22-2200397/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
545.0,YS-N24/22-2200635/2009,14.00,12/01/2010,,25011,CITA,F,22,B,N24,UNKNOWN,
546.0,YS-N24/22-2200391/2009,14.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
547.0,YS-N24/22-2200407/2009,14.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
548.0,YS-N24/22-2200430/2009,14.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
549.0,YS-N24/22-2200411/2009,14.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
550.0,YS-N24/22-2200386/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
551.0,YS-N24/22-2200403/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
552.0,YS-N24/22-2200410/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
553.0,YS-N24/22-2200570/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
554.0,YS-N24/22-2200576/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
555.0,YS-N24/22-2200392/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
556.0,YS-N24/22-2200387/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
557.0,YS-N24/22-2200424/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
558.0,YS-N24/22-2200339/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
559.0,YS-N24/22-2200360/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
560.0,YS-N24/22-2200402/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
561.0,YS-N24/22-2200381/2009,15.30,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
562.0,YS-N24/22-2200582/2009,17.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
563.0,YS-N24/22-2200363/2009,17.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
564.0,YS-N24/22-2200348/2009,17.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
565.0,YS-N24/22-2200423/2009,17.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
566.0,YS-N24/22-2200441/2009,17.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
567.0,YS-N24/22-2200574/2009,17.00,12/01/2010,,25013,CITA,F,22,B,N24,UNKNOWN,
568.0,YS-N24/22-2200596/2009,17.00,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
569.0,YS-N24/22-2200579/2009,17.00,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
570.0,YS-N24/22-2200440/2009,17.00,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
571.0,YS-N24/22-2200429/2009,17.00,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
572.0,YS-N24/22-2200432/2009,17.00,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
573.0,YS-N24/22-2200398/2009,17.00,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
574.0,YS-N24/22-2200447/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
575.0,YS-N24/22-2200412/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
576.0,YS-N24/22-2200364/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
577.0,YS-N24/22-2200369/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
578.0,YS-N24/22-2200370/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
579.0,YS-N24/22-2200431/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
580.0,YS-N24/22-2200401/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
581.0,YS-N24/22-2200367/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
582.0,YS-N24/22-2200400/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
583.0,YS-N24/22-2200737/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
584.0,YS-N24/22-2200414/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
585.0,YS-N24/22-2200736/2009,18.30,12/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
586.0,YS-N24/22-2200394/2009,8.00,13/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
587.0,YS-N24/22-2200428/2009,8.00,13/01/2010,,25014,CITA,F,22,B,N24,UNKNOWN,
588.0,YS-N24/22-2200581/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
589.0,YS-N24/22-2200480/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
590.0,YS-N24/22-2200422/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
591.0,YS-N24/22-2200355/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
592.0,YS-N24/22-2200409/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
593.0,YS-N24/22-2200379/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
594.0,YS-N24/22-2200497/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
595.0,YS-N24/22-2200378/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
596.0,YS-N24/22-2200735/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
597.0,YS-N24/22-2200474/2009,8.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
598.0,YS-N24/22-2200345/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
599.0,YS-N24/22-2200514/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
600.0,YS-N24/22-2200495/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
601.0,YS-N24/22-2200734/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
602.0,YS-N24/22-2200733/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
603.0,YS-N24/22-2200479/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
604.0,YS-N24/22-2200418/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
605.0,YS-N24/22-2200442/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
606.0,YS-N24/22-2200473/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
607.0,YS-N24/22-2200421/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
608.0,YS-N24/22-2200420/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
609.0,YS-N24/22-2200513/2009,9.30,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
610.0,YS-N24/22-2200380/2009,11.00,13/01/2010,,25015,CITA,F,22,B,N24,UNKNOWN,
611.0,YS-N24/22-2200516/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
612.0,YS-N24/22-2200462/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
613.0,YS-N24/22-2200488/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
614.0,YS-N24/22-2200498/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
615.0,YS-N24/22-2200338/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
616.0,YS-N24/22-2200483/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
617.0,YS-N24/22-2200593/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
618.0,YS-N24/22-2200493/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
619.0,YS-N24/22-2200481/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
620.0,YS-N24/22-2200454/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
621.0,YS-N24/22-2200353/2009,11.00,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
622.0,YS-N24/22-2200469/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
623.0,YS-N24/22-2200468/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
624.0,YS-N24/22-2200382/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
625.0,YS-N24/22-2200506/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
626.0,YS-N24/22-2200337/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
627.0,YS-N24/22-2200340/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
628.0,YS-N24/22-2200592/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
629.0,YS-N24/22-2200443/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
630.0,YS-N24/22-2200487/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
631.0,YS-N24/22-2200354/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
632.0,YS-N24/22-2200331/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
633.0,YS-N24/22-2200383/2009,12.30,13/01/2010,,25016,CITA,F,22,B,N24,UNKNOWN,
14.0,YS-N24/22-2100641/2009,8.00,11/01/2010,,35001,DITA,F,22,B,N24,UNKNOWN,
15.0,YS-N24/22-2100638/2009,8.00,11/01/2010,,35001,DITA,F,22,B,N24,UNKNOWN,
16.0,YS-N24/22-2100642/2009,8.00,11/01/2010,,35003,DITA,F,22,B,N24,UNKNOWN,
17.0,YS-N24/22-2100643/2009,8.00,11/01/2010,,35003,DITA,F,22,B,N24,UNKNOWN,
18.0,YS-N24/22-2100635/2009,8.00,11/01/2010,,35003,DITA,F,22,B,N24,UNKNOWN,
19.0,YS-N24/22-2100648/2009,8.00,11/01/2010,,35007,DITA,F,22,B,N24,UNKNOWN,
20.0,YS-N24/22-2100637/2009,8.00,11/01/2010,,35007,DITA,F,22,B,N24,UNKNOWN,
21.0,YS-N24/22-2100652/2009,8.00,11/01/2010,,35008,DITA,F,22,B,N24,UNKNOWN,
22.0,YS-N24/22-2100654/2009,8.00,11/01/2010,,35008,DITA,F,22,B,N24,UNKNOWN,
